"source","target","sectionlength"
"BEFBCL","BEFBCO","0.9"
"BEFBCK","BEFBCL","0.7"
"BEFBMZ","BERNZV","0.729"
"BEFBCO","BEFBN","1.091"
"BERNZV","BEFBCK","0.4"
"BEYSLLY","BEYBGRD","1.434"
"BEYPATD","BERCO","0.759"
"BERCO","BEYLCC","0.612"
"BEYMAUB","BEYFNT","1.448"
"BEFBCL","BEFBCO","0.9"
"BEFBCK","BEFBCL","0.7"
"BERNZV","BEFBCK","0.4"
"BEFBCO","BEFBN","1.091"
"BEFBMZ","BERNZV","0.729"
"BEFBMZ","BERNZV","0.729"
"BEFBCO","BEFBN","1.091"
"BERNZV","BEFBCK","0.4"
"BEFBCK","BEFBCL","0.7"
"BEFBCL","BEFBCO","0.9"
"BEFBMZ","BERNZV","0.729"
"BEFBCO","BEFBN","1.091"
"BEFBCL","BEFBCO","0.9"
"BEFBCK","BEFBCL","0.7"
"BERNZV","BEFBCK","0.4"
"BEFBCK","BEFBCL","0.7"
"BEFBCO","BEFBN","1.091"
"BEFBMZ","BERNZV","0.729"
"BEFBCL","BEFBCO","0.9"
"BERNZV","BEFBCK","0.4"
"BEFBCK","BEFBCL","0.7"
"BEFBCL","BEFBCO","0.9"
"BEFBCO","BEFBN","1.091"
"BEFBMZ","BERNZV","0.729"
"BERNZV","BEFBCK","0.4"
"BEFMSA","BEFMS","1.5"
"BEYMSLE","BEYKATS","1.36"
"BEVMOER","BEYKRIN","0.555"
"BEYKOES","BEVMOER","0.535"
"BEYKOES","BEFNWHZ","0.879"
"BEFNWHZ","BEYHAZP","1.111"
"BESTBKW","BECOMBI","2.174"
"BEYWAHK","BEYSTBK","1.34"
"BEFNTA1","BEFNT11","0.7"
"BECOMBI","BEBASF","1.478"
"BEFNTA2","BEYWAHK","1.56"
"BEYSCHN","BEFNTA1","0.6"
"BEFNDL9","BEFNTA2","1.7"
"BEFNT11","BEFNDL9","1.2"
"BESTBKQ","BESTBKW","5.526"
"BEYSTBK","BESTBKQ","1.0"
"BEYSTBK","BEYBDHT","0.3"
"BEYBDHT","BEZANDV","2.1"
"BEYBERW","BETOX88","0.435"
"BETOX88","BEYWAHK","0.412"
"BEFND10","BEYWAHK","1.108"
"BERGE9","BEFNTA2","0.848"
"BEFNT11","BERDE9","0.7"
"BERDE9","BEFNDMH","1.1"
"BEFNDMH","BERGE9","0.252"
