"source","target","sectionspeed"
"BEFBCL","BEFBCO","50.0"
"BEFBCK","BEFBCL","50.0"
"BEFBMZ","BERNZV","50.0"
"BEFBCO","BEFBN","50.0"
"BERNZV","BEFBCK","50.0"
"BEYSLLY","BEYBGRD","80.0"
"BEYPATD","BERCO","80.0"
"BERCO","BEYLCC","80.0"
"BEYMAUB","BEYFNT","160.0"
"BEFMSA","BEFMS","40.0"
"BEYMSLE","BEYKATS","60.0"
"BEVMOER","BEYKRIN","40.0"
"BEYKOES","BEVMOER","40.0"
"BEYKOES","BEFNWHZ","40.0"
"BEFNWHZ","BEYHAZP","40.0"
"BESTBKW","BECOMBI","90.0"
"BEYWAHK","BEYSTBK","60.0"
"BEFNTA1","BEFNT11","53.333333333333336"
"BECOMBI","BEBASF","90.0"
"BEFNTA2","BEYWAHK","60.0"
"BEYSCHN","BEFNTA1","60.0"
"BEFNDL9","BEFNTA2","60.0"
"BEFNT11","BEFNDL9","60.0"
"BESTBKQ","BESTBKW","90.0"
"BEYSTBK","BESTBKQ","90.0"
"BEYSTBK","BEYBDHT","60.0"
"BEYBDHT","BEZANDV","60.0"
"BEYBERW","BETOX88","40.0"
"BETOX88","BEYWAHK","40.0"
"BEFND10","BEYWAHK","40.0"
"BERGE9","BEFNTA2","40.0"
"BEFNT11","BERDE9","40.0"
"BERDE9","BEFNDMH","40.0"
"BEFNDMH","BERGE9","40.0"
"BEFNDA1","BERDE9","40.0"
"BEFNDA2","BERGE9","40.0"
"BEDSPA1","BEFNTA1","40.0"
"BEFNTA1","BEFNDA1","40.0"
"BERDE9","BEFNDA2","40.0"
"BEFKTH","BEGWD","125.0"
"BELB","BEYLUBL","130.0"
"BEYGNS","BEGNS","67.5"
"BEMID","BEGKT","130.0"
"BEGSM","BELKP","130.0"
"BEYLUBL","BEAND","130.0"
"BEFNDM","BELB","110.0"
"BEGWD","BEFES","125.0"
"BEGKT","BEFKTH","130.0"
"BERLBS","BELKR","130.0"
"BEYFNZG","BEYHLND","90.0"
"BEGNS","BEYFNZG","90.0"
"BELKR","BEYSMBR","130.0"
"BEAND","BERLBS","110.0"
"BELKPWS","BEMID","130.0"
"BELKP","BELKPWS","130.0"
"BEYSMBR","BEGSM","130.0"
"BEYHLND","BEFNDM","110.0"
"BEFN","BEYGNS","50.0"
"BEFES","EU00090","125.0"
"BERLBS","BELBWB","40.0"
"BEYDRHS","BEYSMBR","60.0"
"BEFNZCH","BEYHLND","40.0"
"BEYFNZG","BEFNZCH","40.0"
"BEFKI","BEYLINT","60.0"
"BEFLRDE","BEFLR","90.0"
"BEYLINT","BEFLRDE","90.0"
"BEYDUFF","BEYLINT","60.0"
"BELNE","BELBG","120.0"
"BEFHT","BEYKRBG","90.0"
"BEYDRBS","BEYAUBR","90.0"
"BEGBC","BEFLRCG","120.0"
"BEFJE","BEFOW","120.0"
"BEYKRBG","BEGOL","120.0"
"BEGOL","BELG","120.0"
"BEFOW","BELWO","120.0"
"BELZH","BELZHPU","120.0"
"BELG","BELML","120.0"
"BEMBV","BERMI","120.0"
"BELZHPU","BEYZONH","90.0"
"BELWO","BEYALBK","120.0"
"BEMHD","BEMZDKS","120.0"
"BEFLR","BEYNZTH","120.0"
"BELML","BELNE","120.0"
"BEYALBK","BEFHT","120.0"
"BEDBIST","BELEK","120.0"
"BEYNZTH","BEDBIST","120.0"
"BEYAUBR","BEGBC","120.0"
"BEFLRCG","BEFLR","60.0"
"BELEK","BEFJE","120.0"
"BERMI","BELBN","120.0"
"BELBN","BEMHD","120.0"
"BELBG","BEMBV","120.0"
"BEMZDKS","BEMZD","120.0"
"BEMZD","BELZH","120.0"
"BEYKRBN","BEYAUBR","90.0"
"BEKLHEI","BEGBL","140.0"
"BEGBL","BEMWC","140.0"
"BEGHO","BEGB","140.0"
"BEYRSTN","BEYRSTO","40.0"
"BEGB","BEGBD","140.0"
"BENRSTN","BEYRSTN","140.0"
"BEGBD","BENRSTN","140.0"
"BEYNZTH","BEKLHEI","140.0"
"BEMWC","BEGHO","140.0"
"BEYRSTZ","BEYRSTN","90.0"
"BELTD","BELH","40.0"
"BEYFDT","BELTD","40.0"
"BEGBW","BELOL","120.0"
"BEGHA","EU00091","70.0"
"BELNP","BEGHA","120.0"
"BELML","BEGBW","120.0"
"BEGOV","BELNP","120.0"
"BELOL","BEGOV","120.0"
"BEGLK","EU00092","30.0"
"BEFLD","BEYGIST","90.0"
"BEFST","BEFAK","120.0"
"BEYGIST","BEFST","120.0"
"BEFAK","BEFHS","120.0"
"BEYBKHE","BEFKGG","70.0"
"BEFHS","BEYFHSN","40.0"
"BEFKGG","BEFKGGM","70.0"
"BEGKWI","BEGKW","120.0"
"BEYFHSN","BEYZONH","90.0"
"BEYZONH","BEGKWI","120.0"
"BEFKY","BEBOKBH","120.0"
"BEBOKBH","BEYBKHE","120.0"
"BEGKW","BEFKY","120.0"
"BEYBSDL","BEYTEMN","60.0"
"BEFKGG","BERFGKU","40.0"
"BEYKABK","BERKGZF","60.0"
"BERFGKU","BEYNWDK","60.0"
"BERKGZF","BEYRWEG","60.0"
"BEYNWDK","BEYBSDL","60.0"
"BEYTEMN","BERKGNF","60.0"
"BERKGNF","BEYKABK","60.0"
"BEYBKHE","BEFKG","120.0"
"BEYBKHE","BEYNWDK","60.0"
"BERKGNF","BEFKGLF","40.0"
"BEFKGLF","BERKGZF","40.0"
"BEAMZD","BEIJSLD","40.0"
"BEYBSDL","BEFKGRH","40.0"
"BEYBERN","BEGFM","90.0"
"BEBOTZ","EU00007","90.0"
"BEYFVSH","BEFVSH","73.33333333333333"
"BEFVSH","BEYBERN","73.33333333333333"
"BEYLGL","BEGBG","90.0"
"BERFVS","BEYFVSH","90.0"
"BEGMNGN","BEGMNE","90.0"
"BEGMNGQ","BEBOTZ","90.0"
"BEGFM","BEGRM","90.0"
"BEGMNE","BEGMNGQ","73.33333333333333"
"BEGBG","BERFVS","90.0"
"BEGMNGM","BEGMNGN","90.0"
"BEGRM","BEGMNGM","90.0"
"BEYLNGC","BEYBERN","40.0"
"BEFVS","BEYLNGC","100.0"
"BEYLNGC","BEFVSH","40.0"
"BEFVSH","BEYFVSH","40.0"
"BEGMN","BEGMNE","40.0"
"BEGMNGM","BEGMN","40.0"
"BEFM","BELNK","126.66666666666667"
"BEFPH","BEFWE","160.0"
"BEFSR","BEBUDA","130.0"
"BEFN","BELB","130.0"
"BEFVV","BEFPH","140.0"
"BEGMOD","BEYBSTA","160.0"
"BEGMOG","BEGMOD","160.0"
"BEFKI","BEMHO","140.0"
"BEFWE","BEYABLS","160.0"
"BEFMDST","BEFWA","140.0"
"BEFWA","BEFDF","130.0"
"BELNK","BEFMDST","116.66666666666667"
"BEFCV","BEYFCVN","102.5"
"BEYABLS","BEFM","140.0"
"BEFDF","BEFKI","140.0"
"BEBUDA","BEFVV","130.0"
"BEYFCVN","BEYARST","90.0"
"BEFBN","BEFSR","100.0"
"BEYARST","BEFN","75.0"
"BEMHO","BEGMOG","160.0"
"BEYBSTA","BEFCV","120.0"
"BEYALBR","BEYMCHZ","120.0"
"BEYMCHN","BEYABLS","160.0"
"BEYMCHZ","BEYMCHN","160.0"
"BEFDEL","BEDSTIB","90.0"
"BEHMIVB","BEBOR","90.0"
"BEHUI","BEYFHN","90.0"
"BEGSO","BEYLKHL","90.0"
"BEFSR26","BEFSRIR","40.0"
"BEY50","BEMER","90.0"
"BEFSRCP","BEYKEBK","50.0"
"BEYKEBK","BEYHAHE","40.0"
"BEGEV","BEGSJ","90.0"
"BEGDI","BEGSO","90.0"
"BEYHAHE","BEGHT","90.0"
"BEGSJ","BEMEI","90.0"
"BEGBB","BEHUI","90.0"
"BEFSRV","BEFSR26","40.0"
"BEYFW","BEYBNDL","40.0"
"BEYMTB","BEYFW","40.0"
"BEFSRIR","BEYRBRS","50.0"
"BEGAR","BEBOL","90.0"
"BEGHT","BEHMIVB","90.0"
"BEYRBRS","BEFSRCP","50.0"
"BEMEI","BEY50","90.0"
"BEMER","BEFDEL","90.0"
"BEDSTIB","BEYMTB","90.0"
"BEYLKHL","BEMOE","90.0"
"BEYBNDL","BEGAR","90.0"
"BEMOE","BEGBB","90.0"
"BEBOL","BEGDI","90.0"
"BEBOR","BEGEV","90.0"
"BEYKEBK","BEYMCHL","90.0"
"BEMTB","BEYMTB","40.0"
"BEMTB","BEYBNDL","60.0"
"BEYLKHL","BEYLKBK","90.0"
"BEYZEBR","BEFSR","40.0"
"BEYRBRS","BEYGHTN","40.0"
"BEFBN","BERFBNF","74.0"
"BEYSKLW","BEFWA","120.0"
"BEYBSTA","BEYGHKN","110.0"
"BEYGRPG","BEFSRQC","85.0"
"BEYDRBS","BEGMO","110.0"
"BEYDUFF","BEFKI","120.0"
"BEYOTBK","BEYSKLW","120.0"
"BEFPH","BEYFWE","120.0"
"BEFSR","BEYGRPG","105.0"
"BEFMCH","BEYMCHL","85.0"
"BEFWE","BEFM","120.0"
"BEFMDST","BEYOTBK","110.0"
"BEYFWE","BEFWE","120.0"
"BEYGHKN","BEFCV","85.0"
"BEYGHTN","BEFMCH","85.0"
"BEFSRQC","BEYGHTN","85.0"
"BEGMOL","BEYLSWG","120.0"
"BEMHO","BEGMOL","120.0"
"BERFBNF","BEFSR","102.85714285714285"
"BEYLSWG","BEYDRBS","60.0"
"BEFDF","BEYDUFF","120.0"
"BEYMCHL","BEFVV","105.0"
"BEGMO","BEYBSTA","110.0"
"BEFCV","BEYFCVO","70.0"
"BEYLEOP","BEKONGO","40.0"
"BEKONGO","BERHODE","40.0"
"BELB","BEAND","90.0"
"BEYGHKZ","BEFCV","70.0"
"BERLBS","BEYDRHS","90.0"
"BERFNC1","BEYEKDK","40.0"
"BEYFCVO","BEYGNS","50.0"
"BEYNDRL","BEYLEOP","35.0"
"BEYSCHN","BERFNC1","65.0"
"BEYLSWG","BEYKRBN","90.0"
"BEYDRHS","BEYSCHN","90.0"
"BEYEKDK","BEYNDRL","40.0"
"BEYKRBN","BEYGHKZ","90.0"
"BEFSRRG","BEFSRKC","40.0"
"BEFSRRN","BEFSRR","40.0"
"BEFSR","BEFSRRN","40.0"
"BEFSRKC","BEFSRIR","40.0"
"BEFSRR","BEFSRRG","40.0"
"BEYFCVN","BEYGNS","40.0"
"BERFIZT","BEFMW","40.0"
"BERFIZT","BEFIZ","73.33333333333333"
"BEYFWE","BEFHF","120.0"
"BEYPRHK","BERFIZT","90.0"
"BEFIZ","BEYFIZ","90.0"
"BEYFIZ","BELNK","90.0"
"BEFHF","BEYPRHK","120.0"
"BEYPRHK","BEYHEVR","100.0"
"BEFSRNO","BEYFSRC","40.0"
"BEFSR","BEFSRNO","40.0"
"BEYFSRC","BEFSRR","40.0"
"BEYMUBR","BEYORDR","40.0"
"BEYEKDK","BEYMUBR","40.0"
"BEYOLIL","BEFND10","40.0"
"BEYORDR","BEYKRSK","40.0"
"BEYKRSK","BEYOLIL","40.0"
"BEFSRRG","BEFSR14","40.0"
"BEYGRPG","BEFSRRG","40.0"
"BEYBCKS","BEYPAHS","40.0"
"BEYKUGM","BEFBKI","40.0"
"BEYKUGM","BEYFOST","40.0"
"BEFBCM","BEYKUGM","40.0"
"BEFIZG","BEYFIZ","40.0"
"BEFIZ","BEFIZG","40.0"
"BEYKUGM","BEFBKIF","40.0"
"BEFBKIF","BEFBKI","40.0"
"BEYPAHS","BEGTX","90.0"
"BEYKUGM","BEFBMZ","40.0"
"BEFBOW","BEYKUGM","90.0"
"BEGTX","BESIM","90.0"
"BESIM","BEFBOW","90.0"
"BEYLAKN","BEYPAHS","50.0"
"BEFTL","BEFTR","120.0"
"BEYKRBG","BEFTL","120.0"
"BEFTR","BEFTRB","40.0"
"BEVAUTO","BEFTG","120.0"
"BEFIEWS","BEYRWEG","90.0"
"BEGDP","BEFHS","90.0"
"BEFL","BEFLJ","40.0"
"BELGL","BEYLGL","90.0"
"BEBVRST","BEGDP","90.0"
"BEFLGP","BELHS","90.0"
"BEFIE","BEFIEWS","120.0"
"BEYLGL","BEVAUTO","120.0"
"BELHS","BELTM","90.0"
"BEFTG","BEFIE","120.0"
"BELSL","BELGL","90.0"
"BEYRWEG","BEBVRST","90.0"
"BELTM","BELSL","90.0"
"BEFLJ","BEFLGP","40.0"
"BELSL","BELSLF","40.0"
"BEYRSTZ","BEFRST","90.0"
"BELGD","BEYRSTO","140.0"
"BEYRSTO","BEYRSTZ","90.0"
"BEYFLVM","BEFLV","98.57142857142857"
"BEFHS","BEWDT35","40.0"
"BELWZ","BEYHLBK","120.0"
"BEYFDT","BEFDT","140.0"
"BEFDT","BEGZC","140.0"
"BEYFHSW","BEGSUS","140.0"
"BEWDT35","BEYFHSW","40.0"
"BEYHLBK","BEYFLVM","90.0"
"BEGSU","BEYFDT","140.0"
"BEGSUS","BEGSU","140.0"
"BEGTT","BELGD","140.0"
"BEFRST","BELWZ","120.0"
"BEGZC","BEGTT","140.0"
"BEFHS35","BEYFHSN","60.0"
"BEYFHSW","BEFHS35","60.0"
"BEFLVP","BEYTIVO","40.0"
"BEFLV","BEFLVP","40.0"
"BEYFLVM","BEFLVV","40.0"
"BEFLVV","BEFLV","40.0"
"BEFHS","BEFHSW","40.0"
"BEFHSW","BEYFHSW","40.0"
"BEFHSA","BEYFHSW","40.0"
"BEFHS","BEFHSA","40.0"
"BEYHLBK","BEYWILS","90.0"
"BEFHS","BEFHSL","40.0"
"BEFHS","BEFHSE","40.0"
"BERBIER","BEANS","140.0"
"BEFTBG","BEMRP","160.0"
"BEFZA","BEYFZA","140.0"
"BEYFDG","BEFDG","140.0"
"BEYMLBK","BEFVK","140.0"
"BEYFET","BEFET","160.0"
"BEYLEM","BELEM","160.0"
"BEFTNN","BEFZE","140.0"
"BEFTI","BERBIER","140.0"
"BEFWI","BEFLD","140.0"
"BEFXH","BEGVX","140.0"
"BEFVR","BEBLE","140.0"
"BEGFLPL","BEFL","110.0"
"BELEM","BELEMCD","160.0"
"BELEMCD","BEFTB","160.0"
"BEYFZA","BEYLEM","160.0"
"BEFTB","BEFTBG","160.0"
"BEGVX","BEYGVX","140.0"
"BEMRP","BEFEM","160.0"
"BEFSR","BEGHZ","120.0"
"BEFVK","BEFTNN","140.0"
"BEYGVX","BEFTI","140.0"
"BEGHZ","BEYFDG","140.0"
"BEMO","BEFXH","140.0"
"BEFZE","BEFWI","140.0"
"BEYWILS","BEYFLVM","90.0"
"BEANSPL","BEGFLPL","110.0"
"BEANS","BEANSPL","110.0"
"BEFEM","BEYFET","160.0"
"BEFLV","BEYMLBK","90.0"
"BEFLD","BEFVR","140.0"
"BEFET","BEYWILS","160.0"
"BEFMU","BEMO","140.0"
"BEFDG","BEFZA","120.0"
"BEBLE","BEFMU","140.0"
"BESP059","BEYFDG","50.0"
"BEYKEBK","BESP059","50.0"
"BEYTIVO","BEYMLBK","90.0"
"BEFLV","BEYTIVO","90.0"
"BEYHAHE","BEYFDG","50.0"
"BEYFZA","BEYLHVN","60.0"
"BEYBRCG","BEYMCHN","90.0"
"BEFBNL","BEYBRCG","90.0"
"BEYLHVN","BEFBNL","60.0"
"BEYGVX","BENKGRF","70.0"
"BENKGRF","BENK","40.0"
"BEFDG","BEFZAPQ","160.0"
"BEFSR","BEYALBR","160.0"
"BEYFZA","BELEM","160.0"
"BEFZAPQ","BEFZA","160.0"
"BEYALBR","BEGHZ","160.0"
"BEFTB","BEMRP","160.0"
"BEFET","BEFLV","160.0"
"BEYLEM","BEYLHVN","70.0"
"BEGVXL","BEYGVX","40.0"
"BEGWK","BEYHABR","140.0"
"BEVDL","BEGDL","100.0"
"BEFRZ","BEGON","120.0"
"BEMGR","BEFCH","80.0"
"BEYAGSS","BEMGR","80.0"
"BEGVO","BEVDL","100.0"
"BEYHABR","BEREG","140.0"
"BEGV","BEGVO","100.0"
"BEGON","BEFIP","120.0"
"BEFNV","BEFPS","120.0"
"BEFIP","BEFNV","120.0"
"BEGDL","BEGWK","100.0"
"BEFPS","BEGV","120.0"
"BEFL","BEYVALB","66.0"
"BEREG","EU00008","140.0"
"BEYVALB","BEYAGSS","80.0"
"BEFCF","BEFRZ","120.0"
"BEFCH","BEFCF","120.0"
"BENK2","BEYAGSS","40.0"
"BEFLFSC","BEYVALB","40.0"
"BEFL","BEFLFSC","40.0"
"BEGWK","BEGMNGQ","60.0"
"BERFROI","BEYGADI","60.0"
"BEYGADI","BEYVALB","40.0"
"BEYGADI","BEYAGSS","40.0"
"BEFVS","EU00093","100.0"
"BERFROI","BEFBX","90.0"
"BEFBX","BEFVS","120.0"
"BERBLRO","BEMWL","90.0"
"BEFVI","BEFVY","90.0"
"BEFVY","EU00095","90.0"
"BECOO","BEFNO","90.0"
"BEMWL","BEMSO","90.0"
"BEMSO","BECOO","90.0"
"BEMRV","BERBLRO","90.0"
"BEFNO","BEFVI","80.0"
"BELHM","BESY","90.0"
"BEMPS","BEMRVM","90.0"
"BEMTF","BEMRY","90.0"
"BEMRV","BEMCT","90.0"
"BEMBM","BELBV","120.0"
"BEMLR","BERMARD","120.0"
"BEMCH","BEMML","120.0"
"BESY","BEMBM","90.0"
"BEMCT","BELHM","90.0"
"BEMRY","BEMHN","90.0"
"BERMARD","BEMCH","120.0"
"BEYAGSS","BEMTF","90.0"
"BEMHN","BELSN","90.0"
"BELSN","BEMPS","90.0"
"BEMRVM","BEMRV","90.0"
"BELBV","BEMLR","120.0"
"BEYAGSS","BEMGRL","40.0"
"BEFRO","BEFSS","70.0"
"BEFPS","BEFPSC","70.0"
"BEFTX","BEFRO","70.0"
"BEFSS","BEFSSG","70.0"
"BEFJL","BEFTX","70.0"
"BEFPSC","BEFJL","70.0"
"BEREP","BERER","40.0"
"BEGWK","BEREP","90.0"
"BEFLE","BENSK","120.0"
"BELKD","BEFDD","105.0"
"BEFKS","BELKD","120.0"
"BEFVT","BEGKA","120.0"
"BEFKR","BEYLBGO","120.0"
"BEYBCKS","BEFJT","120.0"
"BEFKB","BEFSMB","120.0"
"BEFJT","BEFBSG","120.0"
"BEFLS","BEFLE","120.0"
"BEGKA","BEYFML","120.0"
"BEYFML","BEFML","120.0"
"BEFSMB","BEFTN","120.0"
"BEYZEBR","BEYLAKN","80.0"
"BEYLAKN","BEFBL","90.0"
"BEFTN","BEFKS","120.0"
"BEFRMB","BERFLSO","120.0"
"BEFML","BEYFMLW","120.0"
"BEFCB","BEFVT","120.0"
"BENSK","BEFCB","120.0"
"BEFDD","BEFRMB","120.0"
"BERFBNF","BEYZEBR","60.0"
"BERFLSO","BEFLS","120.0"
"BEYLBGW","BEFGSP","85.0"
"BEYLBGO","BEYLBGW","85.0"
"BEMGA","BEFKB","120.0"
"BEFBL","BEYBCKS","90.0"
"BEFBSG","BEMGA","120.0"
"BEYFMLW","BEFKR","120.0"
"BEFGSP","BERSNBR","60.0"
"BERSNBR","BEYASLS","90.0"
"BEYFMLW","BERFKRS","120.0"
"BERFKRS","BEFKR","120.0"
"BEYSTBG","BEFPO","120.0"
"BEFEB","BEFLT","160.0"
"BEFLM","BEFLMR","150.0"
"BE2130","BE2131","160.0"
"BEFLT","BEFIA","160.0"
"BEFLMR","BEFHK","160.0"
"BE2133","BE2134","160.0"
"BE2132","BE2133","160.0"
"BESPVM","BE2135","160.0"
"BEFHK","BEFEB","160.0"
"BEFIA","BELBM","160.0"
"BERANDW","BE2130","160.0"
"BE2131","BEYSKL","160.0"
"BE2136","BEYWLLE","160.0"
"BEYWLLE","BE2132","160.0"
"BEYASLS","BEFDO","150.0"
"BEFDO","BEFLM","150.0"
"BERANDO","BERANDW","160.0"
"BELBM","BEYSTBG","140.0"
"BEFR","BEFGB","140.0"
"BE2134","BESPVM","160.0"
"BEFGB","BERFSDC","140.0"
"BERFSDG","BEFSD","90.0"
"BEFBMZ","BEFBKI","65.0"
"BEFPO","BEFR","140.0"
"BEYSKL","BE2136","160.0"
"BEFGSP","BEYASLS","160.0"
"BE2135","BEFGSP","160.0"
"BEFBKI","BERANDO","120.0"
"BERFSDC","BERFSDG","140.0"
"BEFPO","BERFRE","100.0"
"BERFRE","BEFR","65.0"
"BEFDD","BEYWLLE","90.0"
"BEYFML","BESPVM","60.0"
"BERFSDG","BEFSDPT","40.0"
"BEFSDM","BEFSDW","40.0"
"BERFSDC","BEFSDM","40.0"
"BEFSDPT","BEFSD","40.0"
"BEFSDW","BERFSDG","40.0"
"BEFRSP","BEYBT","120.0"
"BEFR","BEFRSP","120.0"
"BEYBT","BEFBK","120.0"
"BEFLW","BERLZRF","120.0"
"BERLZRH","BELZS","40.0"
"BELZVHW","BELZRDL","40.0"
"BELZS","BELZVHW","40.0"
"BEYTDST","BEFLW","120.0"
"BEYBT","BEYDUDZ","120.0"
"BERLZRG","BELZR","80.0"
"BEYDUDZ","BEYTDST","120.0"
"BERLZRF","BERLZRG","120.0"
"BELZR","BERLZRH","80.0"
"BEFRSTN","BERFRE","40.0"
"BERFRE","BEFRV","40.0"
"BEFRV","BEFR","40.0"
"BEFHI","BEMUI","120.0"
"BEYBDWK","BEYPEL","120.0"
"BEYPEL","BEFHI","120.0"
"BEYDUDZ","BEYBDWK","120.0"
"BEMUI","BEFKK","120.0"
"BERFKRS","BEFKRSW","40.0"
"BEFKRSW","BEYLBGO","40.0"
"BEFKRCH","BERFKRS","40.0"
"BEFMLTW","BEFKRCH","40.0"
"BERLZRH","BELZE","70.0"
"BEYPEL","BEBPEL","40.0"
"BELZE","BEYSTBR","70.0"
"BEYSTBR","BELZNID","40.0"
"BERFSDG","BEFSDB","40.0"
"BEFSDA","BEFSD","40.0"
"BEFSDB","BEFSDA","40.0"
"BEFGSP","BEFGSPC","40.0"
"BEFGSPC","BERSNBR","40.0"
"BEFMB","BELNI","90.0"
"BELNI","BEFC","90.0"
"BEFRP","BEFRBS","90.0"
"BELKM","BERVRBK","90.0"
"BEFNZD","BEYFNZD","90.0"
"BEVCLST","BEFMB","60.0"
"BERVPRA","BEFRBZK","60.0"
"BEFRBS","BERVPRA","90.0"
"BEFOE","BERKLWU","90.0"
"BEFC","BELKM","90.0"
"BEFRBZK","BEVCLST","60.0"
"BERVRBK","BEVUMIC","90.0"
"BERKLIJ","BEFNZD","90.0"
"BERKLWU","BERKLIJ","90.0"
"BEVUMIC","BEFOE","90.0"
"BERKLWU","BEFNKL","40.0"
"BEFNKL","BERKLIJ","40.0"
"BERVPRA","BEVPRAY","40.0"
"BEVVRBK","BERVRBK","20.0"
"BEFWSTP","BEFWB","40.0"
"BEFRVA","BEFR","40.0"
"BEFRVB","BEFRVA","40.0"
"BERFRE","BEFRVB","40.0"
"BEYFMLW","BEFMLTW","40.0"
"BEFMLTW","BERFKRS","40.0"
"BERFKRS","BEFKRCL","40.0"
"BEFKRCL","BEYLBGO","40.0"
"BERSNBR","BEFGSPB","40.0"
"BERFLSO","BEFLSO","40.0"
"BEFLSO","BEFLS","40.0"
"BEFGN","BEFMD","120.0"
"BEFAD","BEFDM","120.0"
"BEFIZ","BERFIZT","120.0"
"BEHBS","BEFWG","140.0"
"BEYDLBR","BEYFLVM","120.0"
"BEFZL","BEFKP","120.0"
"BERFIZT","BEYHEVR","120.0"
"BEFCB","BEFNW","120.0"
"BEGHR","BEFOB","140.0"
"BEFAT","BEFATWS","140.0"
"BEFVP","BEHBS","140.0"
"BEFDM","BEFDR","120.0"
"BEFNW","BEFAD","120.0"
"BEFMD","BEFZL","120.0"
"BEFM","BEFIZ","120.0"
"BEFKPZK","BEYHEIK","120.0"
"BEFKP","BEFKPZK","120.0"
"BEFWG","BEYDLBR","140.0"
"BEYHEIK","BEFM","120.0"
"BEFDR","BEFRA","120.0"
"BEFOB","BEFAT","140.0"
"BEYHEVR","BEGHR","140.0"
